season,k,rho_true,rho_sir,sir_failed,rho_hgb,rho_cnn,rho_lstm,rho_transformer
2018-19,30,0.6403,0.4574,False,0.6418,0.7061,0.5917,0.5894
2019-20,10,0.8667,0.7562,False,0.7960,0.7322,0.5816,0.8369
2019-20,15,0.8667,0.7985,False,0.7937,0.8271,0.5816,0.8476
2019-20,20,0.8667,0.8004,False,0.8167,0.9264,0.5816,0.8687
2019-20,25,0.8667,0.7482,False,0.7871,0.9824,0.5816,0.8824
2019-20,30,0.8667,0.6573,False,0.7890,0.9727,0.5816,0.8824
2021-22,10,0.5975,0.5537,False,0.6270,0.7400,0.5926,0.7157
2021-22,15,0.5975,0.6841,False,0.6670,0.7003,0.5926,0.5764
2021-22,20,0.5975,0.3582,False,0.5854,0.6761,0.5926,0.5698
2021-22,25,0.5975,0.3579,False,0.5667,0.5681,0.5926,0.5683
2021-22,30,0.5975,0.3473,False,0.5454,0.5552,0.5926,0.5651
2022-23,10,0.8689,0.8787,False,0.8786,0.9503,0.5808,0.9278
2022-23,15,0.8689,0.7199,False,0.8738,0.9638,0.5808,0.9272
2022-23,20,0.8689,0.6926,False,0.8735,0.9718,0.5808,0.9270
2022-23,25,0.8689,0.6910,False,0.8982,0.9665,0.5808,0.9268
2022-23,30,0.8689,0.6931,False,0.8929,0.9613,0.5808,0.9266
